,,,Frames,Time,ROI A,ROI B
FPS,3.902,,,,,
Frame Avg,2,,,,,
Hz,1.951,,,,,
# Frames,600,,,,,
s/frame,0.512,,,,,
Total time (s),307.2,,,,,
Total time (min),5.12,,,,,
Pixel res,256,,,,,
Zoom,2,,,,,
Pixels/um,0.855,,,,,
,,,147,74.752,104.7007179,100.5111038
,,,148,75.264,101.7025043,100.9088825
,,,149,75.776,97.826431,100.9252281
,,,150,76.288,93.12303084,100.7313243
,,,151,76.8,89.83937736,102.1624867
,,,152,77.312,88.39833001,103.2570129
,,,153,77.824,90.52886226,103.2833344
,,,154,78.336,93.64271223,103.0258375
,,,155,78.848,97.27950876,101.5779973
,,,156,79.36,99.61630683,100.6877791
,,,157,79.872,102.9224051,99.9589362
,,,158,80.384,103.2119188,98.71970703
,,,159,80.896,103.6872321,97.80112367
,,,160,81.408,101.1714917,97.28877844
,,,161,81.92,102.6520779,96.98013686
,,,162,82.432,102.2559305,97.92491864
,,,163,82.944,101.3787529,99.06903357
,,,164,83.456,101.9303685,99.99549686
,,,165,83.968,100.5504314,100.3722237
,,,166,84.48,98.672379,100.0402969
,,,167,84.992,96.98276488,100.0272963
,,,168,85.504,95.60150826,99.46259161
,,,169,86.016,94.79139288,99.37102859
,,,170,86.528,93.3713861,97.93618684
,,,171,87.04,93.06853937,96.00982596
,,,172,87.552,91.16059018,96.47895501
,,,173,88.064,92.05219208,97.23197777
,,,174,88.576,95.62975802,97.87313544
,,,175,89.088,96.87945742,98.18431163
,,,176,89.6,96.67035014,98.80524567
,,,177,90.112,98.55050606,100.0245662
,,,178,90.624,100.2644647,100.8481762
,,,179,91.136,98.94516983,101.0207095
,,,180,91.648,98.28989641,99.65077907
,,,181,92.16,95.56004607,98.92030164
,,,182,92.672,95.84807233,98.95907605
,,,183,93.184,96.0047383,99.20196736
,,,184,93.696,95.82640027,98.7514701
,,,185,94.208,96.22903516,97.15061394
,,,186,94.72,96.88306075,96.91900807
,,,187,95.232,97.42957532,97.70274612
,,,188,95.744,96.21890002,99.03371239
,,,189,96.256,94.43962777,100.4459816
,,,190,96.768,92.5475575,101.0955277
,,,191,97.28,91.59347823,102.4647938
,,,192,97.792,94.77217084,103.4124229
,,,193,98.304,96.34726632,104.4496483
,,,194,98.816,99.82982201,104.5029167
,,,195,99.328,103.5762711,104.3853095
,,,196,99.84,105.360479,104.0250854
,,,197,100.352,102.6107874,103.4621285
,,,198,100.864,99.90893664,102.5803579
,,,199,101.376,98.57094823,101.5145668
,,,200,101.888,98.28761026,99.82530539
,,,201,102.4,99.10456822,98.75450165
,,,202,102.912,101.8712916,98.74364668
,,,203,103.424,102.6244663,98.74076508
,,,204,103.936,102.2392897,98.63750592
,,,205,104.448,98.45729651,97.9343292
,,,206,104.96,96.34192604,96.52458464
,,,207,105.472,93.13810622,95.0677293
,,,208,105.984,92.73752304,94.50761328
,,,209,106.496,93.85313365,94.25923767
,,,210,107.008,94.33792636,93.50119267
,,,211,107.52,94.8673944,93.78670982
,,,212,108.032,96.75598431,95.09182701
,,,213,108.544,98.16686091,95.86692038
,,,214,109.056,97.5957653,96.03861317
,,,215,109.568,97.26525271,96.29514746
,,,216,110.08,99.43039188,96.07975603
,,,217,110.592,100.7549037,95.68838185
,,,218,111.104,102.2583172,96.38705848
,,,219,111.616,102.7746703,96.72102683
,,,220,112.128,102.3296166,97.0931515
,,,221,112.64,102.8928513,98.18956729
,,,222,113.152,102.0247988,99.01622646
,,,223,113.664,102.6066893,98.81284437
,,,224,114.176,102.0931155,98.47006865
,,,225,114.688,101.4151021,98.68229451
,,,226,115.2,100.1081625,98.25578889
,,,227,115.712,98.44566334,98.19726522
,,,228,116.224,96.1303834,98.39245145
,,,229,116.736,94.97980131,98.44807314
